State,total_state_expenditures
Alabama,26645000
Alaska,9744000
Arizona,42026000
Arkansas,25136000
California,261217000
Colorado,36530000
Connecticut,31719000
Delaware,10675000
District of Columbia,N/A
Florida,76381000
Georgia,49649000
Hawaii,14666000
Idaho,7471000
Illinois,68002000
Indiana,31928000
Iowa,22687000
Kansas,15572000
Kentucky,32802000
Louisiana,28422000
Maine,8248000
Maryland,43322000
Massachusetts,55544000
Michigan,54385000
Minnesota,37468000
Mississippi,20375000
Missouri,25550000
Montana,6957000
Nebraska,11867000
Nevada,13914000
New Hampshire,5933000
New Jersey,59281000
New Mexico,19586000
New York,157015000
North Carolina,48165000
North Dakota,6792000
Ohio,68224000
Oklahoma,23262000
Oregon,40041000
Pennsylvania,80324000
Rhode Island,8850000
South Carolina,24553000
South Dakota,4227000
Tennessee,32840000
Texas,111090000
Utah,14223000
Vermont,5557000
Virginia,50302000
Washington,44684000
West Virginia,17019000
Wisconsin,46992000
Wyoming,4426000
