congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,129,0.9767441860465116,0.95842627,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,34,1,0.99217116,63
0,house,A000367,Amash,MI,3,Republican,128,0.6328125,0.7844956,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,32,0.90625,0.59582585,9.4
0,house,A000369,Amodei,NV,2,Republican,128,0.984375,0.83195487,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,34,0.9705882352941176,0.7087267,12.3
0,house,A000370,Adams,NC,12,Democrat,126,0.12698412698412698,0.14932463,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,34,0,0.00195522,-40
0,house,A000371,Aguilar,CA,31,Democrat,129,0.20155038759689922,0.2326108,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,35,0,0.01437817,-21.1
0,house,A000372,Allen,GA,12,Republican,130,0.9692307692307692,0.88450684,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,35,0.9714285714285714,0.82674043,16.2
0,house,A000374,Abraham,LA,5,Republican,116,0.9396551724137931,0.9454955,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,20,1,0.94384426,29.4
0,house,A000375,Arrington,TX,19,Republican,130,0.9692307692307692,0.95904789,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,35,0.9714285714285714,0.98466478,49
0,house,A000376,Allred,TX,32,Democrat,34,0,0.145234,-1.9
116,house,A000376,Allred,TX,32,D,34,0,0.145234,-1.9
0,house,A000377,Armstrong,ND,0,Republican,34,0.9411764705882353,0.96805377,35.72888837
116,house,A000377,Armstrong,ND,0,R,34,0.9411764705882353,0.96805377,35.72888837
0,house,A000378,Axne,IA,3,Democrat,35,0,0.31940755,3.5
116,house,A000378,Axne,IA,3,D,35,0,0.31940755,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,128,0.328125,0.3386559,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.45161290322580644,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,35,0,0.03939016,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,125,0.136,0.13961416,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.17582417582417584,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,34,0.029411764705882353,7.5071e-4,-48.2
0,house,B000755,Brady,TX,8,Republican,130,0.9923076923076923,0.95918162,48.8
115,house,B000755,Brady,TX,8,R,96,0.9895833333333334,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,34,1,0.98463702,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.17204301075268819,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.17204301075268819,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.9195402298850575,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,128,0.9609375,0.94091545,26.5
115,house,B001248,Burgess,TX,26,R,94,0.9574468085106383,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,34,0.9705882352941176,0.94047257,26.5
0,house,B001250,Bishop,UT,1,Republican,126,0.9603174603174603,0.94343783,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,33,0.9696969696969697,0.94709464,27.3
0,house,B001251,Butterfield,NC,1,Democrat,129,0.15503875968992248,0.15789102,-37
115,house,B001251,Butterfield,NC,1,D,94,0.2127659574468085,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,35,0,0.00265591,-37
0,house,B001257,Bilirakis,FL,12,Republican,130,0.9692307692307692,0.90852018,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.9789473684210527,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,35,0.9428571428571428,0.87236146,18.6
0,house,B001260,Buchanan,FL,16,Republican,125,0.952,0.80104823,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.9666666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,35,0.9142857142857143,0.64768302,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.9782608695652174,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.9782608695652174,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,120,0.09166666666666666,0.10214353,-76.1
115,house,B001270,Bass,CA,37,D,87,0.12643678160919541,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,33,0,1.909e-5,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.9358974358974359,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.9358974358974359,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,127,0.8740157480314961,0.95191138,33.4
115,house,B001274,Brooks,AL,5,R,92,0.8369565217391305,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,35,0.9714285714285714,0.96423689,33.4
0,house,B001275,Bucshon,IN,8,Republican,127,0.984251968503937,0.95182303,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.9895833333333334,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,31,0.967741935483871,0.96038492,33.7
0,house,B001278,Bonamici,OR,1,Democrat,130,0.14615384615384616,0.21846836,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,35,0,0.01205671,-22.8
0,house,B001281,Beatty,OH,3,Democrat,127,0.14173228346456693,0.14990541,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.1956521739130435,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,35,0,0.00227303,-38.4
0,house,B001282,Barr,KY,6,Republican,131,0.9694656488549618,0.87537433,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,35,0.9714285714285714,0.80492464,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.9423076923076923,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.9423076923076923,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,130,0.9769230769230769,0.82770973,11.8
115,house,B001284,Brooks,IN,5,R,96,0.9895833333333334,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,34,0.9411764705882353,0.70001812,11.8
0,house,B001285,Brownley,CA,26,Democrat,127,0.23622047244094488,0.22122291,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.32608695652173914,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,35,0,0.01323488,-21.9
0,house,B001286,Bustos,IL,17,Democrat,130,0.2692307692307692,0.5738273,0.7
115,house,B001286,Bustos,IL,17,D,95,0.3684210526315789,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,35,0,0.21700708,0.7
0,house,B001287,Bera,CA,7,Democrat,131,0.2824427480916031,0.34573411,-11.4
115,house,B001287,Bera,CA,7,D,96,0.3854166666666667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,35,0,0.04078887,-11.4
0,house,B001289,Byrne,AL,1,Republican,130,0.9692307692307692,0.94746019,29.4
115,house,B001289,Byrne,AL,1,R,96,0.9583333333333334,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,34,1,0.95203624,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.8842105263157894,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.8842105263157894,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,128,0.953125,0.95987251,46.8
115,house,B001291,Babin,TX,36,R,94,0.9468085106382979,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,34,0.9705882352941176,0.98239563,46.8
0,house,B001292,Beyer,VA,8,Democrat,126,0.14285714285714285,0.12225919,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.1978021978021978,0.16911584,-52.6
116,house,B001292,Beyer,VA,8,D,35,0,4.3189e-4,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.9789473684210527,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.9789473684210527,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.9247311827956989,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.9247311827956989,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,130,0.9769230769230769,0.86881766,14.8
115,house,B001295,Bost,IL,12,R,95,0.9894736842105263,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,35,0.9428571428571428,0.79157255,14.8
0,house,B001296,Boyle,PA,2,Democrat,129,0.14728682170542637,0.16680322,-48
115,house,B001296,Boyle,PA,13,D,94,0.20212765957446807,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,35,0,7.5234e-4,-48
0,house,B001297,Buck,CO,4,Republican,128,0.8671875,0.93136863,23.1
115,house,B001297,Buck,CO,4,R,94,0.851063829787234,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,34,0.9117647058823529,0.92017678,23.1
0,house,B001298,Bacon,NE,2,Republican,131,0.9541984732824428,0.61172141,2.2
115,house,B001298,Bacon,NE,2,R,96,0.9791666666666666,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,35,0.8857142857142857,0.26837643,2.2
0,house,B001299,Banks,IN,3,Republican,131,0.9541984732824428,0.95442885,35
115,house,B001299,Banks,IN,3,R,96,0.9479166666666666,0.94963284,35
116,house,B001299,Banks,IN,3,R,35,0.9714285714285714,0.96758361,35
0,house,B001300,Barragán,CA,44,Democrat,129,0.12403100775193798,0.11020872,-70.7
115,house,B001300,Barragán,CA,44,D,94,0.1702127659574468,0.15122911,-70.7
116,house,B001300,Barragán,CA,44,D,35,0,3.969e-5,-70.7
0,house,B001301,Bergman,MI,1,Republican,129,0.9612403100775194,0.92467349,21.3
115,house,B001301,Bergman,MI,1,R,95,0.968421052631579,0.92923049,21.3
116,house,B001301,Bergman,MI,1,R,34,0.9411764705882353,0.91194068,21.3
0,house,B001302,Biggs,AZ,5,Republican,130,0.7846153846153846,0.92210076,21.1
115,house,B001302,Biggs,AZ,5,R,96,0.7291666666666666,0.92917335,21.1
116,house,B001302,Biggs,AZ,5,R,34,0.9411764705882353,0.9021311,21.1
0,house,B001303,Blunt Rochester,DE,0,Democrat,127,0.1968503937007874,0.33661776,-11.43051247
115,house,B001303,Blunt Rochester,DE,0,D,92,0.2717391304347826,0.44921655,-11.43051247
